,creationDate,avgLow,avgHigh,medianLow,medianHigh,countLow,countHigh,averageFactor,medianFactor
4,2021/47,1440439.875,1214265.3333333333,1206417,693385,8,9,0.842982310062288,0.5747473717628316
30,2021/21,4223862.764705882,3675483.4210526315,2952259,1726783,34,19,0.8701711267147583,0.5849022731406696
6,2021/45,1380842.1,987460.3846153846,1131352,666266,10,13,0.7151146279617232,0.5889113202610682
42,2021/9,2588973.68,3812112.785714286,1773783,1067232,25,28,1.4724416919195122,0.6016699900720663
8,2021/43,2238588.4285714286,1565778.111111111,2149913,1309565,7,27,0.6994488540755674,0.6091246482997219
37,2021/14,4423401.923076923,1928794.357142857,1349490,845233,13,14,0.43604320626627247,0.6263351340135903
109,2019/44,13405627.037037037,13525565.913043479,15976696,10122457,27,23,1.0089469053312519,0.6335763664777749
76,2020/25,6003941.125,3243236.2,3634243,2326734,16,10,0.5401845441980413,0.6402252133387889
86,2020/15,7334924.593220339,7618042.1,4342578,2831623,59,20,1.0385985572423397,0.6520603659853663
0,2021/51,252351.33333333334,503723.4,343858,224450,3,5,1.9961194313747765,0.6527403753875146
61,2020/40,6588935.0,1826620.75,3208523,2180660,4,4,0.27722549243542394,0.6796460552098271
119,2019/34,10272691.485714287,7036357.066666666,4492547,3109271,35,15,0.6849574988650027,0.6920953748508363
105,2019/48,19284421.04347826,8446169.923076924,13160091,9159699,23,13,0.4379789211215811,0.696020946967616
33,2021/18,5698822.2727272725,3889922.09375,3911870,2924450,55,32,0.6825835071863732,0.7475836364705372
82,2020/19,13819436.666666666,12512510.277777778,14335321,10724083,33,36,0.905428388984822,0.7480880965274513
51,2020/50,11992050.714285715,6166232.0,9584830,7200971,7,7,0.5141932891139612,0.7512883379256596
117,2019/36,7145957.521739131,7657681.7,2927452,2201995,23,10,1.0716103022868697,0.7521882510797786
9,2021/42,1580666.0,1327149.0,1481816,1133697,11,26,0.8396138083567306,0.7650727215794674
110,2019/43,10259173.296296297,10714287.777777778,5424173,4238405,27,18,1.0443617110596801,0.7813919283179206
98,2020/3,8212998.9,1209572.8333333333,2334461,1906745,20,6,0.14727541645394998,0.816781689649131
46,2021/5,3378500.68627451,1789321.1666666667,1035924,849678,51,18,0.529619891431711,0.8202126796946494
54,2020/47,8781896.0,3658754.1666666665,5535258,4570998,7,6,0.4166246294270242,0.8257967379298309
41,2021/10,2539696.966666667,2599203.6842105263,1338592,1125202,30,19,1.0234306369322328,0.840586227917095
93,2020/8,4350211.857142857,4233305.714285715,2743930,2324904,21,28,0.9731263334531195,0.8472898361109795
